DOI	Title	Authors	Abstract	Journal	Date
10.1186/s12933-025-02939-7	joint effect of triglyceride glucose index and it obesity-related derivative with estimate glucose disposal rate on cardiometabolic multimorbidity in middle-aged and old chinese adult : a nationwide cohort study .	Ruan X, Ling Y, Chen J, Xiang Y, Ruan H, Zhang W, Jing L, Gao X, He Y, Lu X, Chang T, Xu J, Chen J	the triglyceride-glucose ( tyg ) index , tyg-body mass index ( tyg-bmi ) , tyg-waist circumference ( tyg-wc ) , tyg-waist-to-height ratio ( tyg-whtr ) , and estimate glucose disposal rate ( egdr ) serve a surrogate marker of insulin resistance ( ir ) and be associate with cardiometabolic disease ( cmds ) . however , the joint effect of tyg-related index and egdr on cardiometabolic multimorbidity ( cmm ) risk remain unclear . this study aim to assess both separate and combined effect of tyg-related index and egdr on cmm . the data of this study derive from the china health and retirement longitudinal study ( charls ) . tyg-related index and egdr be dichotomize at their median level for participant categorization . univariate and multivariate cox regression and restrict cubic spline ( rcs ) analyze effect of tyg-related index and egdr on cmm , while receiver operate characteristic ( roc ) curve , net reclassification improvement ( nri ) and integrated discrimination improvement ( idi ) assess their predictive performance . meanwhile , the mutual mediating effect and interaction effect be far assess . this study include 5,854 participant ( male : 47.5 % , median age : 57.0 year ) . compare to low tyg-related index plus high egdr , high tyg-related index plus low egdr have elevate cmm risk : tyg ( hr 3.59 , 95 % ci 2.28-5.65 ) , tyg-bmi ( hr 3.40 , 95 % ci 2.30-5.02 ) , tyg-wc ( hr 3.85 , 95 % ci 2.58-5.75 ) , and tyg-whtr ( hr 3.62 , 95 % ci 2.43-5.39 ) . furthermore , the addition of tyg-related index combine with egdr to the basic model significantly improve cmm risk prediction : tyg ( auc 0.713 , nri 0.363 , idi 0.008 , all p < 0.05 ) ; tyg-bmi ( auc 0.729 , nri 0.479 , idi 0.011 , all p < 0.05 ) ; tyg-wc ( auc 0.716 , nri 0.419 , idi 0.010 , all p < 0.05 ) ; and tyg-whtr ( auc 0.717 , nri 0.379 , idi 0.010 , all p < 0.05 ) . moreover , the mediation analysis demonstrate that egdr significantly mediate all tyg-related index ' association with cmm , with only obesity-related tyg index mediate the association between egdr and cmm . notably , no significant additive or multiplicative interaction be observe between any tyg-related index and egdr for cmm risk . high tyg-related index and low egdr be independently and jointly associate with high cmm risk . joint application of tyg-related index and egdr could improve early identification and prevention of cmm .	Cardiovascular diabetology	02/10/2025
10.1038/s41586-025-09539-1	proteotoxic stress response drive t cell exhaustion and immune evasion .	Wang Y, Ma A, Song NJ, Shannon AE, Amankwah YS, Chen X, Wu W, Wang Z, Saadey AA, Yousif A, Ghosh G, Mandula JK, Velegraki M, Xiao T, Wen H, Huang SC, Wang R, Beusch CM, Dawood AS, Gordon DE, Abdel-Hakeem MS, Ghoneim HE, Xin G, Searle BC, Li Z	chronic infection and cancer cause t cell dysfunction know a exhaustion . this cell state be cause by persistent antigen exposure , suboptimal co-stimulation and a plethora of hostile factor that dampen protective immunity and limit the efficacy of immunotherapy ( 1-4 ) . the mechanism that underlie t cell exhaustion remain poorly understood . here we analyse the proteome of cd8 ( + ) exhaust t ( t ( ex ) ) cell across multiple state of exhaustion in the context of both chronic viral infection and cancer . we show that there be a non-stochastic pathway-specific discordance between mrna and protein dynamic between t effector ( t ( eff ) ) and t ( ex ) cell . we identify a distinct proteotoxic stress response ( psr ) in t ( ex ) cell , which we term t ( ex ) -psr . contrary to canonical stress response that induce a reduction in protein synthesis ( 5,6 ) , t ( ex ) -psr involve an increase in global translation activity and an upregulation of specialized chaperone protein . t ( ex ) -psr be further characterize by the accumulation of protein aggregate and stress granule and an increase in autophagy-dominant protein catabolism . we establish that disruption of proteostasis alone can convert t ( eff ) cell to t ( ex ) cell , and we link t ( ex ) -psr mechanistically to persistent akt signalling . finally , disruption of t ( ex ) -psr-associated chaperone in cd8 ( + ) t cell improve cancer immunotherapy in preclinical model . moreover , a high t ( ex ) -psr in t cell from patient with cancer confers poor response to clinical immunotherapy . collectively , our finding indicate that t ( ex ) -psr be a hallmark and a mechanistic driver of t cell exhaustion , which raise the possibility of target proteostasis pathway a an approach for cancer immunotherapy .	Nature	01/10/2025
10.1056/NEJMoa2508170	sotatercept for pulmonary arterial hypertension within the first year after diagnosis .	McLaughlin VV, Hoeper MM, Badesch DB, Ghofrani HA, Gibbs JSR, Gomberg-Maitland M, Preston IR, Souza R, Waxman AB, Kopeć G, Meyer G, Olsson KM, Fu W, Shi Y, Miller B, Kim SS, Mackenzie HS, Brambatti M, Patel MJ, Koglin J, Cornell AG, Humbert M	sotatercept , an activin-signaling inhibitor , reduce morbidity and mortality among patient with long-standing pulmonary arterial hypertension . it effect in patient with pulmonary arterial hypertension within the first year after diagnosis be unclear . in this phase 3 trial , we enrol adult patient with world health organization functional class ii or iii pulmonary arterial hypertension who have receive the diagnosis less than 1 year earlier , have an intermediate or high risk of death , and be receive double or triple background therapy . patient be randomly assign to receive add-on therapy with subcutaneous sotatercept ( start dose , 0.3 mg per kilogram of body weight ; escalate to target dose , 0.7 mg per kilogram ) or placebo every 21 day . the primary end point be clinical worsening , a composite of death from any cause , unplanned hospitalization last at least 24 hour for worsen of pulmonary arterial hypertension , atrial septostomy , lung transplantation , or deterioration in performance in exercise test due to pulmonary arterial hypertension , assess in a time-to-first-event analysis . the trial be stop early owe to loss of clinical equipoise after the reporting of positive result from previous sotatercept trial . a total of 320 patient be include ( 160 each in the sotatercept and placebo group ) . the median duration of follow-up be 13.2 month . at least one primary end-point event occur in 17 patient ( 10.6 % ) in the sotatercept group and in 59 patient ( 36.9 % ) in the placebo group ( hazard ratio , 0.24 ; 95 % confidence interval , 0.14 to 0.41 ; p < 0.001 ) . deterioration in performance in exercise test due to pulmonary arterial hypertension occur in 8 patient ( 5.0 % ) in the sotatercept group and in 46 patient ( 28.8 % ) in the placebo group ; unplanned hospitalization for worsen of pulmonary arterial hypertension occur in 3 patient ( 1.9 % ) and 14 patient ( 8.8 % ) , respectively ; and death from any cause occur in 7 patient ( 4.4 % ) and 6 patient ( 3.8 % ) . no case of atrial septostomy or lung transplantation occur . the most common adverse event with sotatercept be epistaxis ( 31.9 % ) and telangiectasia ( 26.2 % ) . among adult with pulmonary arterial hypertension who have receive the diagnosis less than 1 year earlier , the addition of sotatercept to background therapy result in a low risk of clinical worsening than placebo . ( fund by merck sharp and dohme , a subsidiary of merck [ rahway , nj ] ; hyperion clinicaltrials.gov number , nct04811092 . ) .	The New England journal of medicine	30/09/2025
10.4049/jimmunol.167.11.6312	the amount of scurfin protein determine peripheral t cell number and responsiveness .	Khattri R, Kasprowicz D, Cox T, Mortrud M, Appleby MW, Brunkow ME, Ziegler SF, Ramsdell F	in the absence of the recently identify putative transcription factor scurfin , mouse develop a lymphoproliferative disorder result in death by 3 wk of age from a pathology that resemble tgf-beta or ctla-4 knockout mouse . in this report , we characterize mouse that overexpress the scurfin protein and demonstrate that these animal have a dramatically depress immune system . mouse transgenic for the foxp3 gene ( which encode the scurfin protein ) have few t cell than their littermate control , and those t cell that remain have poor proliferative and cytolytic response and make little il-2 after stimulation through the tcr . although thymic development appear normal in these mouse , peripheral lymphoid organ , particularly lymph node , be relatively acellular . in a separate transgenic line , force expression of the gene specifically in the thymus can alter thymic development ; however , this do not appear to affect peripheral t cell and be unable to prevent disease in mouse lack a functional foxp3 gene , indicate that the scurfin protein act on peripheral t cell . the data indicate a critical role for the foxp3 gene product in the function of the immune system , with both the number and functionality of peripheral t cell under the aegis of the scurfin protein .	Journal of immunology (Baltimore, Md. : 1950)	01/12/2001
10.1016/j.jns.2024.123303	multi-omic characterization of the effect of ocrelizumab in patient with relapsing-remitting multiple sclerosis .	Kornilov SA, Price ND, Gelinas R, Acosta J, Brunkow ME, Gervasi-Follmar T, Winger RC, Aldershoff D, Lausted C, Troisch P, Smith B, Heath JR, Repovic P, Cohan S, Magis AT	the study examine change in the plasma proteome , metabolome , and lipidome of n = 14 patient with relapsing-remitting multiple sclerosis ( rrms ) initiate treatment with ocrelizumab , assay at baseline , 6 month , and 12 month . analysis of > 4000 circulate biomarkers identify depletion of b-cell associated protein a the early effect observe follow ocrelizumab ( ocr ) initiation , accompany by the reduction in plasma abundance of cytokine and cytotoxic protein , marker of neuronaxonal damage , and biologically active lipid include ceramides and lysophospholipids , at 6 month . b-cell depletion be accompany by decrease in b-cell receptor and cytokine signaling but a pronounced increase in circulate plasma b-cell activate factor ( baff ) . this be follow by an upregulation of a number of signal and metabolic pathway at 12 month . patient with high baseline brain mri lesion load demonstrate both high level of cytotoxic and structural protein in plasma at baseline and more pronounced biomarker change trajectory over time . digital cytometry identify a putative increase in myeloid cell and a pro-inflammatory subset of t-cells . therapeutic effect of ocrelizumab extend beyond cd20-mediated b-cell lysis and implicate metabolic reprogramming , juxtapose the early normalization of immune activation , cytokine signaling and metabolite and lipid turnover in periphery with change in the dynamic of immune cell activation or composition . we identify baff increase follow cd20 depletion a a tentative compensatory mechanism that contribute to the reconstitution of targeted b-cells , necessitate further research .	Journal of the neurological sciences	15/12/2024
10.1126/science.adr7403	intercellular communication in the brain through a dendritic nanotubular network .	Chang M, Krüssel S, Parajuli LK, Kim J, Lee D, Merodio A, Kwon J, Okabe S, Kwon HB	intercellular nanotubular network mediate material exchange , but their existence in neuron remains to be explore in detail . we identify long , thin dendritic filopodia form direct dendrite-dendrite nanotube ( dnts ) in mammalian cortex . super-resolution microscopy in dissociated neuron reveal dnts ' actin-rich composition and dynamic , enable long-range calcium ion ( ca ( 2+ ) ) propagation . imaging and machine learning-based analysis validate in situ dnts a anatomically distinct from synaptic spine . dnts actively transport small molecule and human amyloid-β ( aβ ) ; dnt density increase before plaque formation in the medial prefrontal cortex of app/ps1 mouse ( app , aβ precursor protein ; ps1 , presenilin-1 ) , suggest that the dendrite-dnt network might play a role in alzheimer 's disease pathology . computational model of dnt-mediated aβ propagation recapitulate early amyloidosis , predict selective intracellular accumulation . these finding uncover a nanotubular connectivity layer in the brain , extend neuronal communication beyond classical synapsis .	Science (New York, N.Y.)	02/10/2025
10.1038/s41568-025-00869-w	unveil the molecular and immunological driver of antibody-drug conjugate in cancer treatment .	Zippelius A, Tolaney SM, Tarantino P, Balthasar JP, Thurber GM	after decade of investment , antibody-drug conjugate ( adcs ) be finally demonstrate their potential , mark by a grow number of clinical approval , application in early line of treatment and integration into drug combination , include immunotherapy . this progress have spur investment in develop new adcs and expand the use of approved adcs in clinical practice . the design of adcs be complex , involve multiple molecular component that interact with both tumour and host tissue microenvironments . in this review , we explore the molecular and immunological factor influence adc efficacy and toxicity . we describe how the molecular component of adcs determine their systemic , tissue and cellular distribution , which ultimately dictate therapeutic efficacy . these interaction also determine the toxicity profile and set limitation on maximum dosing . finally , we discuss the impact of adc treatment on immune cell , emphasize the distinct but interconnected role of immunogenic cell death , activation of immune cell such a dendritic cell and antibody-fc interaction . these mechanism be crucial for increase efficacy beyond the direct cytotoxic effect of the payload . by provide insight into the intricate interaction of adcs , this review aim to inform the rational design of combination therapy and guide the development of the next generation of clinically effective adcs .	Nature reviews. Cancer	02/10/2025
10.1126/science.adu4235	localize glutamine leakage drive the spatial structure of root microbial colonization .	Tsai HH, Tang Y, Jiang L, Xu X, Dénervaud Tendon V, Pang J, Jia Y, Wippel K, Vacheron J, Keel C, Andersen TG, Geldner N, Zhou F	plant root release exudate to encourage microbiome assembly , which influence the function and stress resilience of plant . how specific exudate drive spatial colonization pattern remain largely unknown . in this study , we demonstrate that endodermal casparian strips-forming the root 's extracellular diffusion barrier-restrict nutrient leakage into the rhizosphere , coincide with and control spatial colonization pattern of rhizobacteria . we find that vasculature-derived glutamine leakage be a major bacterial chemoattractant and enhancer of proliferation , define a previously unknown pathway for root exudate formation . bacteria defective in amino acid chemoperception display reduce attraction toward leakage site , and root with casparian strip defect display bacterial overproliferation , dependent on bacterial capacity for amino acid metabolization . associate chronic immune stimulation suggest that endodermal nutrient restriction be crucial for regulate microbial colonization and assembly , limit excessive proliferation that could compromise plant health .	Science (New York, N.Y.)	02/10/2025
10.1038/s41586-025-09391-3	monoclonal antibody protect against pandrug-resistant klebsiella pneumoniae .	Roscioli E, Zucconi Galli Fonseca V, Bosch SS, Paciello I, Maccari G, Cardinali G, Batani G, Stazzoni S, Tiseo G, Giordano C, Yuwei S, Capoccia L, Cardamone D, Ridelfi M, Troisi M, Manganaro N, Mugnaini C, De Santi C, Ciabattini A, Cerofolini L, Fragai M, Licastro D, Wyres K, Dortet L, Barnini S, Nicolau DP, Menichetti F, Falcone M, Abdelraouf K, Sala C, Kabanova A, Rappuoli R	the 'silent pandemic ' cause by antimicrobial resistance require innovative therapeutic approach . human monoclonal antibody ( mabs ) , which be among the most transformative and safe drug in oncology ( 1 ) and autoimmunity ( 2 ) , be rarely use for infectious disease and not yet use for antimicrobial resistance ( 3 ) . here we apply an antigen-agnostic strategy to isolate extremely potent human mabs against klebsiella pneumoniae sequence type 147 ( st147 ) , a hypervirulent and pandrug-resistant lineage that be spread globally . isolated mabs target the kl64 capsule and the o-antigen . however , although mabs displayed bactericidal activity in the picomolar range in vitro , only the capsule-specific mabs be protective against fulminant bloodstream infection by st147 and two geographically and genetically distant carbapenem-resistant kl64-bearing k. pneumoniae . protection observe in vivo correlate with in vitro bacterial uptake by macrophage and enchain bacterial growth . our study thus describe a mab that protect against pandrug-resistant k. pneumoniae and provide a strategy to isolate mabs and identify mabs that confer protection against bacteria with antimicrobial resistance .	Nature	01/10/2025
10.1016/j.neuron.2025.09.004	astrocyte-mediated central amygdala microcircuit gate comorbid anxiety symptom in chronic pain .	Zan GY, Yao SY, Deng YZ, Jiang YH, Ye RF, Chen Y, Long JD, Cheng YJ, Chai JR, Xu C, Zhao M, Liu ZQ, Liu JG, Wang YJ	comorbid anxiety symptom be prominent affective component of chronic pain , yet the central mechanism underlie these symptom remain elusive . the central amygdala ( cea ) regulate nociceptive processing and associate anxiety in chronic pain . however , the specific microcircuit and cell type within the cea that regulate pain-related anxiety have not be fully elucidate . in this study , we discover a microcircuit in the cea wherein dynorphinergic neuron of the lateral subdivision of the central amygdala ( cel ) project to the medial subdivision ( cem ) , activation of which gate anxiogenic effect associate with chronic pain . dynorphin-mediated activation of cem astroglial kappa opioid receptor ( kor ) , dependent upon corticotropin-releasing factor ( crf ) receptor 2 signaling , enhance cem neuron excitability by promote n-methyl-d-aspartate receptor ( nmdar ) activation , likely via release gliotransmitter d-serine . behaviorally , kor-mediated bidirectional communication between cea peptidergic neuron and astrocytes modulate the anxiogenic effect of chronic pain . our finding reveal a neuroglial microcircuit underlie pain-associated anxiety and suggest potential target for therapeutic intervention .	Neuron	02/10/2025
10.1038/s41586-025-09542-6	polygenic and developmental profile of autism differ by age at diagnosis .	Zhang X, Grove J, Gu Y, Buus CK, Nielsen LK, Neufeld SAS, Koko M, Malawsky DS, Wade EM, Verhoef E, Gui A, Hegemann L, Geschwind DH, Wray NR, Havdahl A, Ronald A, St Pourcain B, Robinson EB, Bourgeron T, Baron-Cohen S, Børglum AD, Martin HC, Warrier V	although autism have historically be conceptualize a a condition that emerge in early childhood ( 1,2 ) , many autistic people be diagnose later in life ( 3-5 ) . it be unknown whether earlier- and later-diagnosed autism have different developmental trajectory and genetic profile . use longitudinal data from four independent birth cohort , we demonstrate that two different socioemotional and behavioural trajectory be associate with age at diagnosis . in independent cohort of autistic individual , common genetic variant account for approximately 11 % of the variance in age at autism diagnosis , similar to the contribution of individual sociodemographic and clinical factor , which typically explain less than 15 % of this variance . we further demonstrate that the polygenic architecture of autism can be break down into two modestly genetically correlate ( r ( g ) = 0.38 , s.e . = 0.07 ) autism polygenic factor . one of these factor be associate with early autism diagnosis and low social and communication ability in early childhood , but be only moderately genetically correlate with attention deficit-hyperactivity disorder ( adhd ) and mental-health condition . conversely , the second factor be associate with late autism diagnosis and increase socioemotional and behavioural difficulty in adolescence , and have moderate to high positive genetic correlation with adhd and mental-health condition . these finding indicate that earlier- and later-diagnosed autism have different developmental trajectory and genetic profile . our finding have important implication for how we conceptualize autism and provide a model to explain some of the diversity find in autism .	Nature	01/10/2025
10.1038/s41577-025-01221-x	regulator of cd8 ( + ) t cell exhaustion .	Sun Q, Dong C	t cell exhaustion be an adaptive and distinct cell fate that emerge in response to persistent antigen stimulation , primarily in chronic infection and cancer . it be characterize by a progressive loss of effector function and sustained expression of multiple inhibitory receptor . progression to t cell exhaustion be drive by persistent antigen stimulation through the t cell receptor and be modulate by signal from co-stimulatory and inhibitory molecule as well a by microenvironmental factor such a cytokine , metabolite and neuronal factor . these extrinsic cellular factor reshape the t cell transcriptome , epigenome and metabolism towards a state of exhaustion through critical intrinsic cell regulator . in this review , we summarize our current understanding of the regulator involve in t cell exhaustion , highlight their role in direct the fate and functionality of distinct exhaust t cell subset and how they may be harness for the development of improved immunotherapy against cancer and chronic infection .	Nature reviews. Immunology	01/10/2025
10.1038/s41551-025-01513-6	enzyme-converted o kidney allow abo-incompatible transplantation without hyperacute rejection in a human decedent model .	Zeng J, Ma M, Tao Z, Rao Z, Wu C, Yin S, Jiang X, Chen G, Wang Z, Huang D, Zhu M, Liu L, Huo W, Yang H, Guo H, Chen G, Li F, Zheng C, Huang D, Rahfeld P, Kizhakkedathu JN, Withers SG, Lu X, Zhang K, Lin T, Song T	abo-incompatible kidney transplantation be widely use to meet the escalate need for organ . current recipient-centric desensitization protocol involve antibody depletion through plasmapheresis increase the risk of infection , perioperative bleeding event and cost . here we present a donor-centric desensitization protocol , convert type-a kidney into enzyme-converted o kidney during hypothermic perfusion to remove the a antigen from the kidney . an ex vivo model result in no antibody-mediated injury . encourage by this , an enzyme-converted o kidney be transplant into a type-o brain-dead recipient with a high titre of anti-a antibody , and no hyperacute rejection be observe . the graft be well tolerate with no evidence of antibody-mediated rejection for 2 day . antibody-mediated lesion and complement deposition be find start 3 day post-transplant , coincide with a-antigen regeneration , and later high banff score , suggest an immune-mediated response . single-cell sequencing confirm the elevated expression of accommodation-related gene , suggest the potential for longer-term tolerance . this study provide a donor-centric organ engineering strategy and have the potential to broaden the reach of abo-incompatible kidney transplantation , improve the fairness of and access to organ allocation .	Nature biomedical engineering	03/10/2025
10.1038/s41586-025-09589-5	dietary cysteine enhance intestinal stemness via cd8 ( + ) t cell-derived il-22 .	Chi F, Zhang Q, Shay JES, Han S, Ten Hoeve J, Yuan Y, Yang Z, Shin H, Block S, Solanki S, Shah YM, Vander Heiden MG, Agudo J, Yilmaz ÖH	a fundamental question in physiology be understand how tissues adapt and alter their cellular composition in response to dietary cue ( 1-8 ) . the mammalian small intestine be maintain by rapidly renew lgr5 ( + ) intestinal stem cell ( iscs ) that respond to macronutrient change such a fast regimen and obesogenic diet , yet how specific amino acid control isc function during homeostasis and injury remains unclear . here we demonstrate that dietary cysteine , a semi-essential amino acid , enhance isc-mediated intestinal regeneration follow injury . cysteine contribute to coenzyme a ( coa ) biosynthesis in intestinal epithelial cell , which promote expansion of intraepithelial cd8αβ ( + ) t cell and their production of interleukin-22 ( il-22 ) . this enhance il-22 signal directly augments isc reparative capacity after injury . the mechanistic involvement of the pathway in drive the effect of cysteine be demonstrate by several finding : coa supplementation recapitulate cysteine effect , epithelial-specific loss of the cystine transporter slc7a11 block the response , and mouse with cd8αβ ( + ) t cell lack il-22 or a depletion of cd8αβ ( + ) t cell fail to show enhanced regeneration despite cysteine treatment . these finding highlight how coupled cysteine metabolism between iscs and cd8 ( + ) t cell augment intestinal stemness , provide a dietary approach that exploit isc and immune cell crosstalk for ameliorate intestinal damage .	Nature	01/10/2025
